id,name,slug,category,status,stock,cost,cost_status,latest_confirmed_purchase_cost,latest_confirmed_purchase_at,price,transfer_price,margin_price_pct,margin_transfer_pct,description_status,description_reason,attributes_status,attributes_reason,images_count,images_status,completeness,issues,suggested_action,priority
327acf40-9888-42fc-9dee-dd94bab88db5,5 Camioneros de algarrobo + 5 Bombillas Chatas,5-camioneros-de-algarrobo-5-bombillas-chatas,Bombillas,draft,5,7700,COST_WITHOUT_PURCHASE_SOURCE,,,25000,19250,224.68,150,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES|DRAFT_WITH_STOCK,Revisar costo contra la ultima compra confirmada.,MEDIUM
d939a0e1-0554-4ce1-bd40-bca029bf6eb6,Acqua di Gio Armani Premium Caballero 100ml,acqua-di-gio-armani-premium-caballero-100ml,Accesorios,draft,0,18900,COST_WITHOUT_PURCHASE_SOURCE,,,73636,56700,289.61,200,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
6de8ca53-7561-4353-b3f6-99b6da9a9c3c,Afnan 9 AM DIVE,afnan-9-am-dive,Perfumes,active,0,42190,COST_WITHOUT_PURCHASE_SOURCE,,,87667.53,67504,107.79,60,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
9c07ceb2-4d7a-407c-898b-e0cb43fc008e,Afnan 9 PM Elixir,afnan-9-pm-elixir,Perfumes,active,0,68000,COST_WITHOUT_PURCHASE_SOURCE,,,132467.53,102000,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,1,ONLY_ONE_IMAGE,86,COST_WITHOUT_PURCHASE_SOURCE|ONLY_ONE_IMAGE,Revisar costo contra la ultima compra confirmada.,MEDIUM
32ccb5e4-1854-4f3d-9b33-136ae2c2502a,Afnan Turathi Blue,afnan-turathi-blue,Perfumes,active,0,51041.5,COST_WITHOUT_PURCHASE_SOURCE,,,99431.49,76562.25,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
e73c5890-d0a0-4805-a558-cb3b7030ab30,AIRPODS PRO 2,airpods-pro-2,Electrónica,draft,0,15682.9,COST_WITHOUT_PURCHASE_SOURCE,,,50918.51,39207.25,224.68,150,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
44913241-9d16-4ba5-ad8a-56c34307a571,AIRPODS PRO MAX,airpods-pro-max,Electrónica,draft,0,25500,COST_WITHOUT_PURCHASE_SOURCE,,,66233.77,51000,159.74,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
469e3f38-36cc-45fd-bc6e-5bd558d3acf1,Al Haramain Amber Oud Gold Edition,al-haramain-amber-oud-gold-edition,Perfumes,active,0,78432.9,COST_WITHOUT_PURCHASE_SOURCE,,,162977.45,125492.64,107.79,60,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
66c152aa-98db-4827-b4c7-fdc2721da2a6,Al Haramain dubai night,al-haramain-dubai-night,Perfumes,active,1,69205.5,COST_WITHOUT_PURCHASE_SOURCE,,,143803.64,110728.8,107.79,60,DESCRIPTION_GENERIC,Contiene texto comercial intercambiable entre productos.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, gender, intensity.",26,IMAGES_OK,57,COST_WITHOUT_PURCHASE_SOURCE|DESCRIPTION_GENERIC|ATTRIBUTES_INCOMPLETE|ACTIVE_WITHOUT_USEFUL_DESCRIPTION|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
92a1da75-72be-42ad-891f-753273b34460,AURICULAR JBL HARMAN,auricular-jbl-harman,Electrónica,draft,0,17660,COST_WITHOUT_PURCHASE_SOURCE,,,45870.13,35320,159.74,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
b99f0fd0-fa59-4635-8d26-1c3b65040923,Auricular prueba,auricular-prueba,Regalos,active,8,10214.29,COST_OK,10214.29,2026-09-17T20:34:34.380179+00:00,0,,-100,,DESCRIPTION_MISSING,No tiene descripcion.,ATTRIBUTES_MISSING,Faltan: type.,0,NO_IMAGES,43,DESCRIPTION_MISSING|ATTRIBUTES_MISSING|NO_IMAGES|PRICE_INVALID|LIST_MARGIN_NEGATIVE|ACTIVE_WITHOUT_SELLABLE_PRICE|ACTIVE_WITHOUT_USEFUL_DESCRIPTION|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar precios y margen antes de vender.,CRITICAL
db40494d-a08b-4a96-9746-70d6a3ac518b,Auriculares Inalámbricos In-Ear A6S,auriculares-inalambricos-in-ear-a6s,Electrónica,draft,0,5845,COST_WITHOUT_PURCHASE_SOURCE,,,26568.18,20457.5,354.55,250,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
724f97e4-581a-41c9-88d4-ab3e3dbb98df,Autocebante 2 en 1,autocebante-2-en-1,Accesorios,draft,1,13500,COST_WITHOUT_PURCHASE_SOURCE,,,35064.94,27000,159.74,100,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_OK,Cubre los atributos esperados para la categoria.,0,NO_IMAGES,71,COST_WITHOUT_PURCHASE_SOURCE|NO_IMAGES|DRAFT_WITH_STOCK,Revisar costo contra la ultima compra confirmada.,MEDIUM
54295ff4-ea05-4e7d-8f53-2924ccf16f9c,Badee Al Oud For Glory (Black),badee-al-oud-for-glory-black,Perfumes,active,0,37764.25,COST_WITHOUT_PURCHASE_SOURCE,,,73566.72,56646.38,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
03596366-fc4a-4d1a-b6f6-59eba47d2f66,BATTERY PACK,battery-pack,Electrónica,draft,0,14650,COST_WITHOUT_PURCHASE_SOURCE,,,47564.94,36625,224.68,150,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,"Faltan: brand, model, connectivity.",0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES,Revisar costo contra la ultima compra confirmada.,MEDIUM
5b729e4c-e54e-4e59-985f-42e3ce60e30d,BHARARA King,bharara-king,Perfumes,active,0,75629,COST_WITHOUT_PURCHASE_SOURCE,,,147329.22,113443.5,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
72917d13-012c-4ea2-a05a-7c324ef38b3c,BHARARA King Parfum,bharara-king-parfum,Perfumes,active,0,78921.5,COST_WITHOUT_PURCHASE_SOURCE,,,153743.18,118382.25,94.81,50,DESCRIPTION_GOOD,Descripcion extensa y especifica.,ATTRIBUTES_INCOMPLETE,Faltan: brand.,0,NO_IMAGES,57,COST_WITHOUT_PURCHASE_SOURCE|ATTRIBUTES_INCOMPLETE|NO_IMAGES|ACTIVE_WITHOUT_IMAGE|ACTIVE_WITH_INCOMPLETE_ATTRIBUTES,Revisar costo contra la ultima compra confirmada.,HIGH
